sample	color	PC1	PC2	PC3
PI601573	1	-24.3005115367	0.2006007623	-7.6019212693
PI601574	0	3.234055927	-3.1506102233	8.3718160381
PI601584	1	0.5098067568	-6.6118658681	11.3592425506
PI601610	1	-22.5525828117	3.9943852056	1.4280532624
PI601683	1	-30.0952763868	3.600857396	-4.5676399566
PI601685	1	6.2881201173	0.0538926362	-0.0465416207
PI601686	1	6.7083528587	0.0573605195	0.1709100824
PI601724	1	2.7816484539	0.8832963095	4.6946404415
PI601725	1	5.0699592442	-6.8336170993	8.4064155384
PI601726	1	2.1135761868	-7.5251195705	12.3293999737
PI601727	1	2.5841192863	-7.3450333105	12.4554786353
PI601728	1	3.8292193785	-7.5140533936	17.4067052035
PI601729	1	-22.4065220605	4.4145435512	-5.5808970484
PI601745	1	-14.9511207302	2.31904045	-3.6183793634
PI601773	1	4.3515748112	-2.985581548	2.5688458118
PI601774	1	3.1160292264	-4.5437044933	8.5123856935
PI601775	1	-21.8288648514	0.3697303888	1.392114334
PI601776	1	5.5997737163	-1.9219587447	8.0116850466
PI601777	1	-23.1449282625	-0.2655647433	-3.4430697773
PI601778	1	-9.2735483676	-4.7684035611	7.0489421801
PI601779	1	4.0834530569	-4.136596088	5.3292755348
PI601780	1	-25.630764234	2.942790819	-6.2473350926
PI601781	1	5.6970243821	-3.2214476043	10.5963475962
PI601782	1	2.1632162843	-5.0419971758	13.8446241979
PI601783	1	2.2206429648	-6.0192483636	12.086579599
PI601784	1	-6.0114844719	-2.3256709878	10.9738155505
PI601785	1	0.2083720409	-1.8294150771	8.0164130131
PI601786	1	4.0791411985	-7.4584259193	11.0146614251
PI601787	1	3.0705368554	-3.6386026261	5.6397348246
PI601788	1	2.4086416297	-6.4177067639	8.7898409672
PI601789	1	-19.7773438878	0.3425802002	5.4504359612
PI601790	1	5.2638551516	-5.3146129912	11.0359410162
PI601791	0	0.521334671	-4.5199289734	3.404918801
PI601792	1	3.4689030996	-4.3818503539	14.4076579977
PI601808	1	-12.7278236361	0.0058336142	-2.7356834312
PI603939	1	-0.0303884338	1.6379626352	4.80079893
PI604605	1	-7.3672867546	0.9491225629	5.3629063611
PI604606	1	-6.9971682544	1.4935631897	5.2118592607
PI607381	1	-14.777986209	2.8916444477	-2.2623481198
PI607383	1	6.3538873134	-3.3532364421	-0.6551678575
PI607384	1	-3.4147727564	-4.8980240056	11.1245334177
PI607522	1	6.1964540818	-0.377667327	1.090379201
PI607525	1	-17.8695163081	2.0895114983	9.2967442716
PI608764	1	3.0693102615	-2.333378212	6.3150245512
PI608768	1	4.3297467105	2.3185942837	7.3329100893
PI608806	0	4.1126562143	-8.3536718803	-8.3920779738
PI610493	1	4.4617777537	-9.1031024166	-7.7967528898
PI610494	1	4.7816377116	-9.071810969	-7.513865659
PI613179	0	23.4876552883	4.8613616178	-31.1999067237
PI614142	1	-6.7711373434	3.1295005536	2.5879675681
PI614819	1	5.3198968699	-7.4472555627	-7.5581412433
PI614820	1	6.8329044491	-10.4082717428	-9.6691843275
PI619429	1	6.514100436	-6.5154880618	-8.1298213752
PI619430	0	4.3904886837	-8.4870736921	-8.5024612047
PI619431	0	5.766938504	-2.8359018076	-1.0567083263
PI631393	1	-1.3800440881	2.0966507582	9.673776378
PI631394	1	-4.211053672	2.4102604988	0.4085284685
PI632413	1	-22.7447079484	3.2013702903	-1.3211672911
PI633840	1	-31.8242736816	3.6777791616	-10.4021047629
PI633924	1	0.6150719674	-3.5293198963	8.171490031
PI634206	1	1.1795127492	-4.6388760039	-3.2099496973
PI634207	1	-2.6010615673	-0.7618898658	3.4934231343
PI634211	1	0.5478172153	-1.0200424143	2.7712234672
PI634212	1	0.7448254782	-1.0788454998	2.9610846866
